,x,y,z
1010,136468.7852,1419327.1593499999,83.26805
1011,136468.23315000001,1419327.06175,83.3016
1012,136465.4668,1419326.5402,82.76785
1013,136464.91475,1419326.4426,82.78005
1014,136462.7218,1419326.06135,83.0942
1015,136461.3249,1419326.1437,83.18875
1016,136461.8678,1419326.2413,83.14605
1017,136462.41985,1419326.34195,83.1674
1018,136464.6006,1419326.7201500002,82.80445
1019,136466.8149,1419327.12885,82.98745000000001
1020,136467.37915,1419327.2356,83.16130000000001
1021,136470.13025,1419327.7358000001,83.23145
1022,136470.69145,1419327.8364499998,83.23145
1023,136471.78944999998,1419328.0347,83.18875
1024,136474.0007,1419328.42815,83.10640000000001
1025,136474.54055,1419328.5288,83.1552
1026,136475.10175,1419328.6294500001,83.18265000000001
1027,136475.6538,1419328.7301,83.13995000000001
1028,136476.75485,1419328.9314000001,83.20095
1029,136477.31605,1419329.03205,83.22535
1030,136480.62835,1419329.62375,83.04235
1031,136481.1743,1419329.72135,83.0454
1032,136483.39165,1419330.11785,82.9844
1033,136483.94675,1419330.22155,83.04235
1034,136484.49575,1419330.3161000002,82.96915000000001
1035,136485.05085,1419330.4198,83.0271
1036,136487.81415,1419330.91695,82.98134999999999
1037,136490.03454999998,1419331.3317500001,83.3199
1038,136490.58965,1419331.43545,83.3931
1039,136493.35295,1419331.9326000002,83.3565
1040,136493.9111,1419332.02715,83.2223
1041,136494.45705,1419332.12475,83.2284
1042,136495.01215,1419332.22845,83.265
1043,136497.2173,1419332.628,83.31075000000001
1044,136497.77850000001,1419332.7256,83.1857
1045,136498.33665,1419332.8232,83.0942
1046,136500.00195,1419333.116,82.92949999999999
1047,136500.54485,1419333.21665,82.9966
1048,136502.201,1419333.52775,83.15825
1049,136502.7561,1419333.6314499998,83.2528
1050,136503.3051,1419333.72905,83.2467
1051,136503.85715,1419333.8327499998,83.28025
1052,136504.41835,1419333.9334,83.3199
1053,136507.1786,1419334.43055,83.17045
1054,136507.7276,1419334.52815,83.16435
1055,136508.27659999998,1419334.6257500001,83.10640000000001
1056,136511.04905,1419335.12595,82.9966
1057,136512.70825,1419335.4279,83.09115
1058,136513.2481,1419335.5255000002,83.06370000000001
1059,136513.8093,1419335.6292,83.06675
1060,136516.0175,1419336.02875,83.06675
1061,136516.55735,1419336.12635,83.0515
1062,136517.11854999998,1419336.2270000002,83.03320000000001
1063,136517.67364999998,1419336.3246,82.98134999999999
1064,136519.3237,1419336.6295999999,83.10945
1065,136519.525,1419336.9376500002,83.21620000000001
1066,136518.9821,1419336.837,83.17960000000001
1067,136518.4331,1419336.7333000002,83.10335
1068,136517.8719,1419336.63265,83.11555
1069,136516.77085,1419336.4374499999,83.1674
1070,136516.21575,1419336.3368,83.1674
1071,136515.67285,1419336.2392000002,83.17654999999999
1072,136515.11775,1419336.1355,83.1369
1073,136514.0167,1419335.9403,83.18875
1074,136513.45854999998,1419335.83965,83.1857
1075,136511.80544999999,1419335.53465,83.04845
1076,136510.14625,1419335.23575,83.07589999999999
1077,136509.58505,1419335.1351,83.10335
1078,136509.04215,1419335.0344500002,83.07285
1079,136506.26055,1419334.54035,83.2345
1080,136505.7146,1419334.44275,83.30465
1081,136505.1534,1419334.3451500002,83.33515
1082,136501.835,1419333.73515,83.11859999999999
1083,136499.6146,1419333.3264499998,82.98745000000001
1084,136499.06865,1419333.2319,83.0515
1085,136496.28399999999,1419332.7439000001,83.4114
1086,136495.7411,1419332.6463,83.4175
1087,136495.1799,1419332.5426,83.3626
1088,136492.4166,1419332.04545,83.35955
1089,136491.8554,1419331.9448000002,83.36564999999999
1090,136489.63194999998,1419331.5422,83.26195
1091,136489.08905,1419331.4385,83.15825
1092,136486.86865,1419331.0359,83.07285
1093,136486.3227,1419330.94135,83.11555
1094,136485.76455,1419330.8407,83.12775
1095,136482.44005,1419330.23375,82.96305
1096,136481.88495,1419330.13615,82.9844
1097,136481.33595,1419330.0355000002,82.94475
1098,136479.11860000002,1419329.6451,83.1552
1099,136478.57875,1419329.5505499998,83.21315
1100,136476.3614,1419329.1479500001,83.11859999999999
1101,136475.80325,1419329.05035,83.14605
1102,136474.7022,1419328.8520999998,83.17045
1103,136473.04605,1419328.5532,83.10335
1104,136471.94805,1419328.3549499998,83.14605
1105,136469.1817,1419327.86695,83.31075000000001
1106,136468.64184999999,1419327.76935,83.326
1107,136468.08370000002,1419327.6687,83.29245
1108,136466.42145,1419327.34845,82.8441
1109,136463.6734,1419326.8635,83.0576
1110,136463.1244,1419326.76895,83.10945
1111,136462.5693,1419326.6683,83.143
1112,136459.82125,1419326.1711499998,83.05454999999999
1113,136459.2692,1419326.0766,83.1369
1114,136458.72934999998,1419325.9789999998,83.19484999999999
1115,136457.41175,1419325.9789999998,83.34429999999999
1116,136457.9516,1419326.07355,83.28025
1117,136460.7027,1419326.56155,83.09115
1118,136461.8007,1419326.7598,83.11859999999999
1119,136464.00585000002,1419327.15325,82.99355
1120,136464.54265,1419327.2417000001,82.81665000000001
1121,136465.09470000002,1419327.3392999999,82.72210000000001
1122,136465.6559,1419327.43995,82.74345000000001
1123,136467.31815,1419327.7602,83.16435
1124,136470.6335,1419328.3580000002,83.1979
1125,136471.17945,1419328.4556,83.1674
1126,136472.2927,1419328.6538500001,83.07894999999999
1127,136473.94885,1419328.95275,83.11859999999999
1128,136474.4948,1419329.0533999999,83.12165
1129,136475.04684999998,1419329.151,83.082
1130,136476.7091,1419329.45295,83.12775
1131,136477.8132,1419329.6542500001,83.2101
1132,136479.4724,1419329.94705,83.0393
1133,136480.5887,1419330.1453,82.95085
1134,136483.352,1419330.64855,83.04845
1135,136483.91319999998,1419330.7522500001,83.10029999999999
1136,136484.45305,1419330.8468,83.021
1137,136485.0173,1419330.9505,83.10640000000001
1138,136487.23465,1419331.35005,83.0698
1139,136487.7806,1419331.4445999998,83.0149
1140,136488.33875,1419331.5483000001,83.08505000000001
1141,136488.8969,1419331.652,83.11859999999999
1142,136490.5439,1419331.96005,83.34429999999999
1143,136491.1051,1419332.0607,83.34429999999999
1144,136493.87145,1419332.5609,83.34429999999999
1145,136494.42655,1419332.6615499998,83.3809
1146,136497.19595,1419333.1587,83.29855
1147,136497.75105,1419333.25325,83.17045
1148,136498.30005000002,1419333.3508499998,83.13385
1149,136501.0786,1419333.8541,83.04845
1150,136501.62149999998,1419333.95475,83.0942
1151,136502.7378,1419334.1591,83.17654999999999
1152,136503.83885,1419334.36345,83.27720000000001
1153,136504.397,1419334.46715,83.33210000000001
1154,136507.16030000002,1419334.96125,83.17045
1155,136507.72454999998,1419335.0588500001,83.06065
1156,136508.26135,1419335.16255,83.143
1157,136509.9236,1419335.4614499998,83.07589999999999
1158,136511.0399,1419335.66275,83.05454999999999
1159,136513.78795,1419336.16905,83.27109999999999
1160,136514.3461,1419336.2697,83.265
1161,136515.4441,1419336.4679500002,83.20400000000001
1162,136517.09415000002,1419336.7699,83.27720000000001
1163,136517.65535,1419336.8705499999,83.22535
1164,136518.1952,1419336.96815,83.23755
1165,136519.8117,1419337.569,83.326
1166,136518.71065,1419337.3738,83.37785
1167,136516.50245,1419336.9712,83.2955
1168,136515.9504,1419336.8705499999,83.2955
1169,136515.4014,1419336.7699,83.28635
1170,136513.1871,1419336.3734,83.34429999999999
1171,136512.632,1419336.2697,83.3016
1172,136512.09215,1419336.16905,83.23145
1173,136509.32275,1419335.66275,83.10640000000001
1174,136508.7768,1419335.5651500002,83.12165
1175,136506.5564,1419335.1717,83.27109999999999
1176,136506.0013,1419335.0710500001,83.265
1177,136503.23495,1419334.5708499998,83.2833
1178,136502.1339,1419334.3665,83.1369
1179,136499.9196,1419333.9578,82.9539
1180,136499.3767,1419333.8632500002,83.04235
1181,136498.81245,1419333.7626,83.0881
1182,136496.589,1419333.3752499998,83.42970000000001
1183,136496.0461,1419333.27765,83.43885
1184,136493.28280000002,1419332.77745,83.34429999999999
1185,136492.7216,1419332.6768,83.35345000000001
1186,136492.1665,1419332.5792,83.3626
1187,136489.9583,1419332.1766,83.265
1188,136489.3971,1419332.06985,83.1247
1189,136488.842,1419331.96615,83.0271
1190,136488.293,1419331.8655,83.0149
1191,136486.07565,1419331.4751000002,83.21925
1192,136485.5175,1419331.37445,83.15825
1193,136482.7542,1419330.8712,83.05454999999999
1194,136479.9909,1419330.371,82.94779999999999
1195,136479.4297,1419330.27035,82.97525
1196,136478.87764999998,1419330.1758,83.07285
1197,136478.3317,1419330.0782,83.1308
1198,136475.56535,1419329.5810500002,83.11555
1199,136475.01635,1419329.4804,83.0576
1200,136474.46125,1419329.3828,83.12165
1201,136473.36325,1419329.1845500001,83.0881
1202,136472.80205,1419329.0808499998,83.0271
1203,136470.054,1419328.5958999998,83.2406
1204,136469.49889999998,1419328.49525,83.27109999999999
1205,136468.9438,1419328.3976500002,83.3077
1206,136467.8458,1419328.1994,83.24974999999999
1207,136467.28764999998,1419328.0957,83.15214999999999
1208,136466.73559999999,1419327.9859,82.90814999999999
1209,136466.18050000002,1419327.87915,82.78615
1210,136465.62235,1419327.77545,82.7282
1211,136463.4416,1419327.4002999999,83.12775
1212,136462.88955,1419327.3027,83.15825
1213,136460.1415,1419326.80555,83.09115
1214,136459.58945,1419326.7079500002,83.09115
1215,136456.85665,1419326.2260500002,83.3382
1216,136456.3046,1419326.1254,83.33210000000001
1217,136455.76475,1419326.0278,83.3138
1218,136454.22755,1419326.03085,82.7953
1219,136454.78875,1419326.14065,82.9844
1220,136457.5429,1419326.6561,83.32294999999999
1221,136458.09495,1419326.7537,83.29855
1222,136458.63175,1419326.84825,83.2345
1223,136459.1838,1419326.9458499998,83.1674
1224,136460.8308,1419327.2417000001,83.13995000000001
1225,136461.38285,1419327.3392999999,83.10335
1226,136461.92575,1419327.4369,83.04845
1227,136462.48085,1419327.5406,83.15825
1228,136464.67075,1419327.92185,82.75564999999999
1229,136465.2167,1419328.01945,82.74040000000001
1230,136466.87284999999,1419328.3275,82.9539
1231,136467.4371,1419328.4373,83.1369
1232,136467.9922,1419328.54405,83.26805
1233,136470.74635,1419329.03815,83.20400000000001
1234,136471.2984,1419329.1388,83.1674
1235,136471.8413,1419329.2333499999,83.11859999999999
1236,136474.6107,1419329.7366,83.15825
1237,136475.71175000002,1419329.9379,83.17960000000001
1238,136476.8128,1419330.1331,83.12775
1239,136477.36485,1419330.2307,83.07894999999999
1240,136480.1251,1419330.7248,82.90814999999999
1241,136480.6802,1419330.8285,82.9783
1242,136481.22615,1419330.9261,82.9661
1243,136481.7843,1419331.0298000001,83.06370000000001
1244,136484.5476,1419331.5361000001,83.1674
1245,136485.1027,1419331.6337,83.0881
1246,136486.7619,1419331.9386999998,83.2101
1247,136487.86295,1419332.1308499998,83.0454
1248,136490.0803,1419332.53955,83.2406
1249,136490.6232,1419332.6432500002,83.34734999999999
1250,136491.1844,1419332.74085,83.26805
1251,136493.9416,1419333.24105,83.33210000000001
1252,136494.50280000002,1419333.34475,83.3565
1253,136495.05485000001,1419333.4454,83.3931
1254,136497.81815,1419333.9395,83.2101
1255,136498.3763,1419334.0370999998,83.14605
1256,136500.03855,1419334.3298999998,82.9173
1257,136500.58145,1419334.43055,82.95085
1258,136501.13655,1419334.5373,83.0515
1259,136503.87545,1419335.0466500001,83.29245
1260,136504.4275,1419335.15035,83.3016
1261,136504.98870000002,1419335.251,83.3016
1262,136507.19079999998,1419335.6475,83.21620000000001
1263,136507.7459,1419335.7481499999,83.17960000000001
1264,136508.30405,1419335.8488,83.15214999999999
1265,136509.9602,1419336.14465,83.07589999999999
1266,136511.0582,1419336.34595,83.0942
1267,136511.61635,1419336.4496499998,83.1491
1268,136512.7052,1419336.65705,83.35040000000001
1269,136513.2603,1419336.7577,83.35955
1270,136513.8032,1419336.8553,83.326
1271,136514.36135,1419336.95595,83.2955
1272,136517.10635,1419337.4592000002,83.35955
1273,136517.6645,1419337.5568,83.29855
1274,136518.20130000002,1419337.6574499998,83.37785
1275,136519.75375,1419338.1729000001,83.36564999999999
1276,136516.45059999998,1419337.57205,83.37480000000001
1277,136515.89245,1419337.4714000002,83.37480000000001
1278,136512.0464,1419336.7699,83.2589
1279,136511.48825,1419336.66315,83.1674
1280,136509.83515,1419336.3612,83.0942
1281,136509.277,1419336.2636000002,83.17349999999999
1282,136508.7341,1419336.16295,83.14605
1283,136506.5137,1419335.7664499998,83.27720000000001
1284,136505.9708,1419335.66885,83.31075000000001
1285,136503.19835000002,1419335.1656,83.27720000000001
1286,136502.65545,1419335.06495,83.1857
1287,136502.1034,1419334.96125,83.12165
1288,136499.33705,1419334.458,83.07285
1289,136498.785,1419334.3573500002,83.10945
1290,136498.22075,1419334.25975,83.1674
1291,136497.11665,1419334.0676,83.34125
1292,136496.56155,1419333.97,83.42054999999999
1293,136493.2401,1419333.3661000002,83.326
1294,136492.69415,1419333.2685,83.3687
1295,136489.37575,1419332.6585000001,83.07894999999999
1296,136488.81455,1419332.5548,82.99965
1297,136488.25944999998,1419332.4541500001,83.021
1298,136485.4931,1419331.96615,83.23145
1299,136484.938,1419331.86245,83.13995000000001
1300,136483.83695,1419331.6642,83.17654999999999
1301,136483.27575,1419331.56355,83.1674
1302,136482.73285,1419331.4629000002,83.1247
1303,136479.41139999998,1419330.85595,82.93255
1304,136478.85325000001,1419330.7552999998,82.96915000000001
1305,136476.10215,1419330.2673000002,83.16130000000001
1306,136473.8909,1419329.86775,83.1247
1307,136473.3297,1419329.7670999998,83.10640000000001
1308,136472.22865,1419329.5627499998,83.00269999999999
1309,136470.0357,1419329.17845,83.24365
1310,136469.48365,1419329.0808499998,83.27109999999999
1311,136466.16220000002,1419328.45865,82.76175
1312,136465.6071,1419328.3580000002,82.71905
1313,136465.0642,1419328.2604,82.7526
1314,136463.9784,1419328.0773999998,83.021
1315,136460.13235,1419327.38505,83.07589999999999
1316,136459.57725,1419327.28745,83.14605
1317,136456.8475,1419326.8025,83.3077
1318,136456.2924,1419326.7018499998,83.33515
1319,136455.7556,1419326.60425,83.3016
1320,136455.19135,1419326.4975,83.15825
1321,136452.97705,1419326.07965,82.74040000000001
1322,136452.44329999998,1419325.9851000002,82.76785
1323,136451.9004,1419325.89665,82.9844
1324,136450.50960000002,1419325.8509,83.1552
1325,136451.06165000002,1419325.9515499999,83.1369
1326,136454.33735000002,1419326.53105,82.86545
1327,136454.8833,1419326.6378,83.0271
1328,136457.6527,1419327.1501999998,83.2955
1329,136458.1895,1419327.2478,83.27415
1330,136458.7446,1419327.3454,83.24365
1331,136461.4835,1419327.8364499998,83.1247
1332,136462.0447,1419327.9401500002,83.1552
1333,136462.59675,1419328.0408,83.20095
1334,136463.13965,1419328.1383999998,83.17654999999999
1335,136467.55604999998,1419328.93445,83.10945
1336,136468.102,1419329.0411999999,83.26195
1337,136468.66014999998,1419329.1449,83.32294999999999
1338,136470.8714,1419329.5383499998,83.1979
1339,136472.50925,1419329.83115,83.0881
1340,136474.7266,1419330.23375,83.1125
1341,136475.28475,1419330.3344,83.0942
1342,136475.82765,1419330.43505,83.15214999999999
1343,136476.38885,1419330.5357000001,83.1491
1344,136478.04499999998,1419330.83155,83.06370000000001
1345,136480.8083,1419331.3317500001,83.04845
1346,136481.3634,1419331.4323999998,83.10640000000001
1347,136481.9124,1419331.53305,83.09724999999999
1348,136485.2308,1419332.13695,83.1857
1349,136485.78895,1419332.2376,83.1491
1350,136486.3471,1419332.3413,83.2284
1351,136487.44815,1419332.53955,83.13995000000001
1352,136491.3308,1419333.2502,83.36564999999999
1353,136491.87065,1419333.3508499998,83.39615
1354,136494.64919999999,1419333.8510500002,83.37175
1355,136495.19210000001,1419333.9517,83.44495
1356,136495.75024999998,1419334.05235,83.39615
1357,136498.51355,1419334.5433999998,83.143
1358,136500.73395,1419334.9398999999,82.9783
1359,136501.29210000002,1419335.0466500001,83.04845
1360,136502.39315,1419335.24795,83.10029999999999
1361,136504.04624999998,1419335.55905,83.28635
1362,136504.60745,1419335.6597,83.3138
1363,136505.14729999998,1419335.76035,83.34429999999999
1364,136507.9228,1419336.26055,83.1918
1365,136508.4657,1419336.3551,83.1308
1366,136509.02385,1419336.4618499998,83.20095
1367,136510.68305,1419336.7577,83.0942
1368,136511.2229,1419336.8583499999,83.143
1369,136511.78105,1419336.9589999998,83.13995000000001
1370,136513.98925,1419337.37075,83.34125
1371,136514.52909999999,1419337.46835,83.34125
1372,136515.0842,1419337.57205,83.36564999999999
1373,136517.27715,1419337.97465,83.4602
1374,136517.83225,1419338.07225,83.38700000000001
1375,136518.39345,1419338.17595,83.3992
1376,136518.93025,1419338.27355,83.3809
1377,136520.0923,1419338.7951,83.2955
1378,136519.53415,1419338.69445,83.3382
1379,136518.99125,1419338.5968499999,83.3626
1380,136516.22185,1419338.09665,83.38395
1381,136515.682,1419337.996,83.35345000000001
1382,136513.4677,1419337.5964499998,83.37175
1383,136512.90954999998,1419337.4958000001,83.39615
1384,136510.1676,1419336.9834,83.07285
1385,136509.61555,1419336.88885,83.17349999999999
1386,136509.0635,1419336.7882,83.17960000000001
1387,136506.84615,1419336.3917,83.26195
1388,136506.29715,1419336.29105,83.2406
1389,136505.74205,1419336.19345,83.34125
1390,136503.5247,1419335.7878,83.2589
1391,136502.97875,1419335.68715,83.1979
1392,136502.42364999998,1419335.58345,83.1247
1393,136500.20630000002,1419335.17475,82.96
1394,136499.6634,1419335.07715,82.9966
1395,136498.54405,1419334.88195,83.15214999999999
1396,136497.4369,1419334.6898,83.35345000000001
1397,136496.87875,1419334.5891500001,83.3992
1398,136496.33585,1419334.49155,83.3931
1399,136495.77465,1419334.38785,83.37785
1400,136494.11545,1419334.0889499998,83.35955
1401,136493.55425000002,1419333.9883,83.36564999999999
1402,136492.4532,1419333.79005,83.3809
1403,136490.794,1419333.4942,83.45715
1404,136490.23585,1419333.3844,83.2406
1405,136489.69295,1419333.2807,83.0942
1406,136489.13175,1419333.1770000001,83.0515
1407,136487.47255,1419332.8811499998,83.1674
1408,136486.9144,1419332.78355,83.20400000000001
1409,136486.37149999998,1419332.68595,83.24974999999999
1410,136485.8103,1419332.5883499999,83.28025
1411,136484.70925,1419332.38705,83.20400000000001
1412,136483.59295,1419332.1857500002,83.2406
1413,136483.0531,1419332.08815,83.2589
1414,136482.4919,1419331.9814000002,83.13385
1415,136480.27455,1419331.5788,83.06370000000001
1416,136479.73165,1419331.47815,83.0149
1417,136477.51735,1419331.08165,83.10335
1418,136476.97444999998,1419330.9840499999,83.11555
1419,136476.41934999998,1419330.8895,83.21315
1420,136475.31829999998,1419330.6882,83.1247
1421,136474.76015,1419330.58755,83.17654999999999
1422,136473.66215,1419330.3893,83.143
1423,136473.10095000002,1419330.2886499998,83.11859999999999
1424,136472.54585,1419330.1819,82.9783
1425,136469.7978,1419329.69695,83.26195
1426,136469.25795,1419329.6024,83.29855
1427,136467.04059999998,1419329.1845500001,82.93865
1428,136466.47635,1419329.0777999999,82.78615
1429,136464.28645,1419328.6874,82.8807
1430,136463.74354999998,1419328.5989499998,83.12165
1431,136463.18845000002,1419328.50135,83.18265000000001
1432,136462.0935,1419328.3031,83.17349999999999
1433,136460.99855,1419328.10485,83.16435
1434,136460.44345000002,1419328.0042,83.1247
1435,136459.8914,1419327.9035500002,83.11859999999999
1436,136459.35155,1419327.809,83.1674
1437,136456.6035,1419327.31795,83.3016
1438,136456.06365,1419327.22035,83.2833
1439,136453.84325,1419326.7964,82.73125
1440,136453.2912,1419326.6988000001,82.77395
1441,136451.1318,1419326.32365,83.1674
1442,136450.5828,1419326.2260500002,83.17654999999999
1443,136450.02465,1419326.12235,83.11859999999999
1444,136447.27354999998,1419325.8753,83.0515
1445,136447.81645,1419325.9698500002,82.96
1446,136448.91139999998,1419326.1742,83.09724999999999
1447,136449.46345,1419326.2718,83.02404999999999
1448,136451.65945,1419326.67135,83.0393
1449,136452.73915,1419326.85435,82.79225
1450,136454.38615,1419327.1593499999,82.90814999999999
1451,136454.9504,1419327.2661000001,83.0576
1452,136455.4933,1419327.37285,83.19484999999999
1453,136458.2505,1419327.8730499998,83.20400000000001
1454,136458.7873,1419327.97065,83.17045
1455,136459.3424,1419328.06825,83.12775
1456,136460.43735,1419328.2665,83.1491
1457,136461.5323,1419328.46475,83.1308
1458,136462.0874,1419328.5654,83.13995000000001
1459,136462.64555,1419328.6691,83.19484999999999
1460,136465.37835,1419329.1449,82.70685
1461,136467.5835,1419329.5627499998,83.09115
1462,136468.14775,1419329.67255,83.27415
1463,136468.70285,1419329.7732,83.3199
1464,136475.32135,1419330.9688,83.1979
1465,136475.86729999998,1419331.06945,83.20705
1466,136478.07855,1419331.4598500002,82.9722
1467,136478.63365,1419331.5605000001,82.95695
1468,136480.83575,1419331.9631,83.05454999999999
1469,136481.3939,1419332.0668,83.08505000000001
1470,136481.95205,1419332.1674499998,83.0698
1471,136482.49495,1419332.27115,83.19484999999999
1472,136485.2735,1419332.77745,83.21315
1473,136488.0307,1419333.2746,83.1674
1474,136490.794,1419333.7839499998,83.35345000000001
1475,136491.90725,1419333.9883,83.4114
1476,136494.6675,1419334.49155,83.43885
1477,136495.22565,1419334.5922,83.44189999999999
1478,136499.0839,1419335.2814999998,83.10029999999999
1479,136500.74615,1419335.5773500002,82.98134999999999
1480,136501.30125,1419335.6841,83.10029999999999
1481,136501.84720000002,1419335.77865,82.9966
1482,136504.0554,1419336.19345,83.27720000000001
1483,136504.59829999998,1419336.2941,83.28025
1484,136505.15645,1419336.3978,83.3077
1485,136508.4718,1419336.9956,83.21620000000001
1486,136509.57285,1419337.1938500002,83.1552
1487,136510.6861,1419337.3982,83.11859999999999
1488,136511.229,1419337.49885,83.1918
1489,136512.3392,1419337.70625,83.31685
1490,136513.9862,1419338.0082,83.3626
1491,136514.53214999998,1419338.10885,83.36564999999999
1492,136515.0842,1419338.2095,83.37175
1493,136517.8353,1419338.7097,83.3626
1494,136518.38735,1419338.81035,83.3626
1495,136520.2448,1419339.3807,83.27415
1496,136519.68665000002,1419339.28005,83.28939999999999
1497,136519.14985000002,1419339.18245,83.30465
1498,136516.9386,1419338.7829,83.3565
1499,136516.38045,1419338.6792000001,83.35040000000001
1500,136515.8406,1419338.5816,83.34429999999999
1501,136513.0712,1419338.0814,83.38700000000001
1502,136510.8813,1419337.6726999998,83.15825
